SECTOR,LAT,LON,CITY,TARGET_FACILITY,RISK_LEVEL
SEC-48,52.34,29.20,Brussels,Supply Depot,Extreme
SEC-39,38.77,-8.75,Vienna,Embassy Annex,Medium
SEC-48,38.06,-5.72,Warsaw,Communications Tower,Medium
SEC-46,39.53,27.08,Copenhagen,Water Treatment Plant,High
SEC-20,44.13,19.49,Madrid,Supply Depot,High
SEC-56,50.26,20.73,Paris,Supply Depot,Medium
SEC-40,44.26,-9.33,Berlin,Railway Junction,Extreme
SEC-39,56.81,2.89,Rome,Supply Depot,High
SEC-52,57.53,29.93,London,Embassy Annex,Low
SEC-87,43.15,14.84,Paris,Embassy Annex,Low
SEC-62,58.05,3.69,Copenhagen,Water Treatment Plant,Medium
SEC-71,38.60,27.30,Geneva,Supply Depot,Medium
SEC-81,45.75,9.72,Geneva,Communications Tower,Medium
SEC-72,49.35,-2.81,Warsaw,Power Grid Substation,Medium
SEC-89,59.70,9.83,Vienna,Water Treatment Plant,Medium
SEC-48,41.72,-4.01,Geneva,Embassy Annex,High
SEC-17,52.86,-3.46,Copenhagen,Railway Junction,High
SEC-11,51.59,13.14,London,Communications Tower,Extreme
SEC-74,42.56,6.72,Berlin,Power Grid Substation,Low
SEC-26,45.71,18.17,Vienna,Communications Tower,Extreme
SEC-80,36.98,20.65,Berlin,Communications Tower,High
SEC-49,44.83,25.45,Brussels,Communications Tower,High
SEC-30,58.12,11.25,Paris,Supply Depot,Medium
SEC-42,39.68,-6.54,Prague,Communications Tower,Extreme
SEC-14,56.02,9.06,Madrid,Supply Depot,Low
SEC-10,41.83,25.05,Copenhagen,Water Treatment Plant,High
SEC-62,52.78,3.69,Paris,Embassy Annex,High
SEC-79,58.88,19.12,Paris,Power Grid Substation,Extreme
SEC-68,47.41,23.79,Vienna,Water Treatment Plant,Extreme
SEC-85,43.69,-4.84,Berlin,Railway Junction,Low
SEC-29,48.70,21.93,Rome,Power Grid Substation,Medium
SEC-57,48.38,12.59,London,Supply Depot,High
SEC-59,57.31,-2.85,Paris,Railway Junction,Low
SEC-60,45.75,-6.96,Paris,Railway Junction,Medium
SEC-95,56.64,19.15,Geneva,Supply Depot,Medium
SEC-70,56.37,13.97,London,Communications Tower,Low
SEC-39,59.32,16.18,Copenhagen,Embassy Annex,High
SEC-38,43.07,11.64,Vienna,Water Treatment Plant,Extreme
SEC-53,52.11,1.55,Vienna,Power Grid Substation,Medium
SEC-34,58.73,18.97,Berlin,Communications Tower,Medium
SEC-29,58.42,-6.79,Paris,Power Grid Substation,High
SEC-10,52.93,21.41,Berlin,Power Grid Substation,High
SEC-63,59.19,12.13,Vienna,Railway Junction,Extreme
SEC-79,54.84,1.20,Brussels,Supply Depot,Extreme
SEC-29,55.82,1.59,Vienna,Supply Depot,High
SEC-68,50.93,-2.33,Madrid,Embassy Annex,Extreme
SEC-75,50.93,5.47,Copenhagen,Water Treatment Plant,Extreme
SEC-60,53.61,-8.84,Prague,Embassy Annex,High
SEC-83,40.19,8.48,Brussels,Power Grid Substation,High
SEC-66,52.81,2.39,London,Supply Depot,Extreme
SEC-27,37.64,-2.20,Prague,Embassy Annex,High
SEC-80,45.54,18.20,Brussels,Embassy Annex,Low
SEC-68,43.07,-1.35,London,Embassy Annex,High
SEC-41,44.04,-4.16,Prague,Embassy Annex,Medium
SEC-43,47.37,-4.77,Rome,Power Grid Substation,Extreme
SEC-60,42.16,24.52,Prague,Supply Depot,Medium
SEC-92,56.79,17.29,Rome,Railway Junction,High
SEC-30,56.47,18.66,Zurich,Water Treatment Plant,Medium
SEC-20,36.90,2.69,Paris,Railway Junction,High
SEC-33,58.57,18.95,London,Communications Tower,Low
SEC-64,49.91,13.31,Brussels,Power Grid Substation,Extreme
SEC-27,46.03,9.03,Warsaw,Power Grid Substation,Medium
SEC-21,47.42,-8.02,Zurich,Water Treatment Plant,Medium
SEC-27,59.25,7.81,London,Embassy Annex,Extreme
SEC-16,38.38,29.66,Prague,Embassy Annex,High
SEC-75,55.20,-3.19,Zurich,Water Treatment Plant,Extreme
SEC-21,52.07,-8.58,Warsaw,Embassy Annex,Medium
SEC-76,44.47,27.57,Paris,Embassy Annex,Extreme
SEC-69,41.36,-5.83,Rome,Communications Tower,Medium
SEC-78,54.16,-6.38,Brussels,Supply Depot,Low
SEC-77,37.15,5.63,Zurich,Water Treatment Plant,Extreme
SEC-71,51.94,17.53,Brussels,Supply Depot,Medium
SEC-21,49.77,8.45,Brussels,Embassy Annex,Low
SEC-90,48.61,20.63,Geneva,Railway Junction,Extreme
SEC-51,53.03,27.73,Paris,Power Grid Substation,Extreme
SEC-28,46.22,-9.92,London,Railway Junction,High
SEC-42,45.81,29.44,Brussels,Embassy Annex,High
SEC-53,57.27,18.57,Berlin,Railway Junction,High
SEC-29,45.12,21.98,Paris,Railway Junction,High
SEC-35,45.50,5.28,Prague,Supply Depot,Low
SEC-70,35.98,14.00,Paris,Power Grid Substation,Low
SEC-51,42.23,28.02,Prague,Railway Junction,Medium
SEC-51,51.41,3.65,Geneva,Water Treatment Plant,High
SEC-80,41.94,-3.89,Warsaw,Water Treatment Plant,High
SEC-60,58.54,27.91,Zurich,Power Grid Substation,Low
SEC-14,35.62,29.57,Vienna,Water Treatment Plant,Extreme
SEC-62,42.04,13.16,Berlin,Embassy Annex,Low
SEC-90,39.44,25.59,Berlin,Power Grid Substation,High
SEC-49,43.72,24.01,Paris,Supply Depot,Low
SEC-49,42.73,11.38,Prague,Railway Junction,Extreme
SEC-12,56.08,3.31,Berlin,Supply Depot,High
SEC-39,41.51,13.64,London,Water Treatment Plant,High
SEC-36,40.89,3.87,Rome,Supply Depot,High
SEC-43,53.04,0.32,Berlin,Power Grid Substation,High
SEC-67,51.68,23.19,Paris,Water Treatment Plant,Low
SEC-48,38.48,29.53,Vienna,Embassy Annex,Medium
SEC-32,41.94,0.05,Rome,Embassy Annex,Medium
SEC-69,46.36,23.21,Rome,Water Treatment Plant,Medium
SEC-65,58.38,10.66,Prague,Power Grid Substation,Extreme
SEC-57,46.47,16.38,Copenhagen,Railway Junction,Extreme
SEC-78,36.21,19.22,Brussels,Communications Tower,High
SEC-81,55.83,15.93,Prague,Communications Tower,Extreme
SEC-28,47.17,5.19,Brussels,Communications Tower,Extreme
SEC-62,38.26,4.35,Warsaw,Embassy Annex,High
SEC-44,42.25,2.45,Rome,Water Treatment Plant,Extreme
SEC-52,47.49,7.98,Berlin,Railway Junction,Extreme
SEC-15,49.41,24.75,London,Embassy Annex,Low
SEC-82,42.26,-4.47,Paris,Railway Junction,Medium
SEC-92,36.04,10.75,Paris,Embassy Annex,Extreme
SEC-77,37.22,1.30,Paris,Power Grid Substation,Extreme
SEC-48,38.95,13.03,Copenhagen,Water Treatment Plant,Low
SEC-52,44.76,25.31,Warsaw,Railway Junction,Medium
SEC-21,49.66,-2.04,London,Railway Junction,Low
SEC-67,40.58,28.96,London,Power Grid Substation,Low
SEC-54,45.72,23.48,Paris,Supply Depot,Medium
SEC-62,58.37,26.82,Zurich,Railway Junction,Extreme
SEC-60,50.83,5.05,Rome,Railway Junction,Medium
SEC-76,51.05,2.21,Prague,Water Treatment Plant,High
SEC-89,55.28,1.30,Vienna,Supply Depot,High
SEC-49,35.40,-4.73,London,Railway Junction,Low
SEC-67,37.92,-7.47,Berlin,Water Treatment Plant,Extreme
SEC-54,43.16,12.25,Warsaw,Communications Tower,Low
SEC-14,57.28,-8.57,Berlin,Water Treatment Plant,Medium
SEC-28,46.56,14.36,Geneva,Communications Tower,Low
SEC-88,47.87,0.23,Zurich,Supply Depot,Low
SEC-45,47.04,-0.96,Geneva,Power Grid Substation,High
SEC-61,53.49,-7.25,Prague,Water Treatment Plant,High
SEC-22,48.94,-9.03,Geneva,Railway Junction,Medium
SEC-17,47.87,-7.97,London,Embassy Annex,Low
SEC-54,40.37,5.96,Warsaw,Railway Junction,Extreme
SEC-47,38.14,10.25,Warsaw,Railway Junction,Medium
SEC-35,41.55,13.57,Rome,Power Grid Substation,Medium
SEC-91,39.08,27.18,Berlin,Water Treatment Plant,High
SEC-80,59.99,19.86,Paris,Communications Tower,Extreme
SEC-71,53.18,16.12,Paris,Communications Tower,Extreme
SEC-27,53.14,-0.70,Zurich,Railway Junction,High
SEC-12,44.76,-7.64,Madrid,Embassy Annex,High
SEC-19,50.13,2.92,Copenhagen,Communications Tower,Medium
SEC-77,47.94,12.19,Brussels,Power Grid Substation,High
SEC-62,37.13,12.56,Berlin,Embassy Annex,Extreme
SEC-21,46.24,7.30,Copenhagen,Supply Depot,Low
SEC-71,53.50,15.83,Zurich,Communications Tower,Medium
SEC-69,41.30,0.17,Geneva,Embassy Annex,Low
SEC-78,50.11,13.55,Paris,Communications Tower,Low
SEC-99,57.44,-8.59,Prague,Supply Depot,High
SEC-43,37.28,-2.01,Rome,Railway Junction,High
SEC-78,43.11,-4.39,Prague,Supply Depot,Extreme
SEC-86,50.09,1.47,Warsaw,Power Grid Substation,Low
SEC-34,58.98,21.09,Geneva,Communications Tower,Low
SEC-93,35.20,-2.71,Prague,Supply Depot,High
SEC-15,45.20,21.12,Zurich,Communications Tower,Low
SEC-23,58.61,-9.90,Paris,Power Grid Substation,Extreme
SEC-20,40.69,2.15,Prague,Railway Junction,Medium
SEC-86,46.93,9.76,Rome,Supply Depot,Low
SEC-55,38.45,13.59,London,Embassy Annex,High
SEC-73,52.60,18.77,London,Power Grid Substation,Extreme
SEC-38,56.61,22.85,Vienna,Water Treatment Plant,Extreme
SEC-49,36.43,-1.98,Rome,Power Grid Substation,Low
SEC-88,36.00,23.88,London,Communications Tower,High
SEC-37,46.87,6.59,London,Power Grid Substation,Low
SEC-16,48.62,-9.89,Vienna,Embassy Annex,High
SEC-15,56.71,12.03,Vienna,Railway Junction,Medium
SEC-29,52.23,12.94,London,Embassy Annex,Medium
SEC-83,42.49,28.56,Copenhagen,Embassy Annex,High
SEC-13,38.56,5.81,Brussels,Embassy Annex,Medium
SEC-69,58.09,16.53,Vienna,Power Grid Substation,High
SEC-32,37.48,6.76,Paris,Communications Tower,High
SEC-96,37.38,10.69,Zurich,Water Treatment Plant,High
SEC-50,37.27,4.15,Copenhagen,Supply Depot,Medium
SEC-32,47.38,4.54,Paris,Water Treatment Plant,Medium
SEC-45,49.58,29.09,Brussels,Power Grid Substation,Low
SEC-42,39.61,29.71,Copenhagen,Communications Tower,Low
SEC-63,56.81,26.02,Copenhagen,Communications Tower,High
SEC-19,53.93,-7.77,Warsaw,Water Treatment Plant,Medium
SEC-84,40.65,18.36,Zurich,Communications Tower,Extreme
SEC-56,38.84,0.64,Copenhagen,Supply Depot,High
SEC-47,51.01,20.63,Vienna,Railway Junction,Extreme
SEC-53,59.23,27.81,Brussels,Railway Junction,Medium
SEC-13,47.44,-5.36,Zurich,Power Grid Substation,Medium
SEC-63,46.35,3.17,Copenhagen,Water Treatment Plant,Low
SEC-94,36.91,11.88,Berlin,Water Treatment Plant,Low
SEC-67,35.82,2.63,Warsaw,Communications Tower,Extreme
SEC-67,53.08,18.66,Geneva,Power Grid Substation,High
SEC-74,46.07,19.84,Brussels,Water Treatment Plant,Low
SEC-12,51.62,15.35,Prague,Water Treatment Plant,Low
SEC-64,44.22,23.35,Brussels,Power Grid Substation,Medium
SEC-17,43.95,15.57,Zurich,Supply Depot,Medium
SEC-76,43.33,12.68,Geneva,Embassy Annex,Extreme
SEC-13,45.30,19.80,Paris,Railway Junction,Low
SEC-45,55.43,-8.12,Madrid,Embassy Annex,Low
SEC-15,58.78,10.56,Berlin,Power Grid Substation,Low
SEC-85,59.54,10.27,Madrid,Railway Junction,Extreme
SEC-57,41.88,-6.02,Zurich,Supply Depot,High
SEC-28,45.98,-5.92,Paris,Embassy Annex,Medium
SEC-85,54.00,28.66,Madrid,Water Treatment Plant,Extreme
SEC-36,57.47,-7.57,London,Railway Junction,High
SEC-76,40.81,-3.05,Warsaw,Power Grid Substation,Medium
SEC-81,54.21,24.13,Madrid,Communications Tower,Extreme
SEC-13,36.00,8.80,Madrid,Communications Tower,Low
SEC-16,40.46,8.46,Paris,Supply Depot,Extreme
SEC-44,53.36,20.97,Copenhagen,Power Grid Substation,High
SEC-17,44.87,21.47,Prague,Railway Junction,Medium
SEC-71,49.99,16.90,Prague,Supply Depot,Low
SEC-21,43.64,21.30,Berlin,Power Grid Substation,Low
SEC-14,46.70,13.74,Rome,Power Grid Substation,Extreme
SEC-18,36.21,27.89,Madrid,Supply Depot,Extreme
SEC-19,57.34,5.21,Paris,Supply Depot,High
SEC-53,50.64,21.66,Madrid,Power Grid Substation,Extreme
SEC-53,52.46,21.73,Warsaw,Power Grid Substation,Low
SEC-46,35.36,5.97,Paris,Embassy Annex,Extreme
SEC-40,38.14,7.92,Vienna,Supply Depot,Low
SEC-32,53.29,26.47,Geneva,Embassy Annex,Extreme
SEC-58,40.65,27.95,London,Supply Depot,Medium
SEC-32,46.67,-6.83,Madrid,Railway Junction,Extreme
SEC-46,45.88,18.37,Vienna,Communications Tower,Extreme
SEC-93,55.39,13.59,Brussels,Embassy Annex,Low
SEC-75,42.75,11.62,London,Water Treatment Plant,Medium
SEC-92,38.85,10.58,Madrid,Water Treatment Plant,Low
SEC-51,44.77,14.50,London,Railway Junction,Medium
SEC-71,40.54,4.33,Copenhagen,Communications Tower,Low
SEC-17,41.17,8.79,Berlin,Supply Depot,Extreme
SEC-78,38.41,21.10,Zurich,Railway Junction,Low
SEC-17,58.83,-0.82,Paris,Supply Depot,Extreme
SEC-19,51.71,24.92,Geneva,Power Grid Substation,Low
SEC-23,36.04,28.65,Zurich,Power Grid Substation,Medium
SEC-65,44.68,-1.81,Paris,Power Grid Substation,Extreme
SEC-55,36.70,-6.46,Vienna,Railway Junction,High
SEC-37,44.53,20.71,London,Communications Tower,Medium
SEC-55,35.68,9.39,Paris,Water Treatment Plant,High
SEC-46,36.61,15.07,Berlin,Railway Junction,Medium
SEC-22,57.09,27.56,Copenhagen,Railway Junction,High
SEC-30,36.29,-5.70,Copenhagen,Communications Tower,Low
SEC-48,45.36,3.32,Brussels,Power Grid Substation,Medium
SEC-99,56.33,7.40,Zurich,Supply Depot,Low
SEC-54,44.38,9.14,Brussels,Embassy Annex,High
SEC-73,49.04,-3.17,Zurich,Power Grid Substation,Medium
SEC-28,50.56,9.15,Madrid,Communications Tower,Low
SEC-53,59.15,17.81,Warsaw,Supply Depot,Medium
SEC-86,42.23,0.48,Rome,Railway Junction,High
SEC-69,47.01,0.71,Warsaw,Water Treatment Plant,Medium
SEC-32,44.27,9.44,Rome,Railway Junction,Extreme
SEC-91,38.00,25.29,Rome,Power Grid Substation,High
SEC-67,53.98,-9.95,Paris,Water Treatment Plant,Extreme
SEC-89,56.90,17.28,Madrid,Communications Tower,Extreme
SEC-86,47.55,12.17,Geneva,Railway Junction,High
SEC-75,42.09,18.27,Vienna,Embassy Annex,High
SEC-35,56.19,28.43,Berlin,Supply Depot,High
SEC-53,48.60,16.61,Geneva,Embassy Annex,High
SEC-94,54.96,9.73,Vienna,Water Treatment Plant,Medium
SEC-62,41.88,9.71,Berlin,Embassy Annex,Medium
SEC-67,42.22,2.36,Brussels,Communications Tower,Medium
SEC-69,45.15,23.82,London,Railway Junction,Extreme
SEC-82,50.50,-0.80,Brussels,Embassy Annex,Medium
SEC-78,57.71,25.64,Vienna,Supply Depot,High
SEC-15,54.89,3.08,Vienna,Communications Tower,Low
SEC-19,49.49,17.80,Copenhagen,Power Grid Substation,Medium
SEC-81,57.34,1.05,Rome,Supply Depot,Medium
SEC-91,42.97,19.77,London,Embassy Annex,Extreme
SEC-73,47.13,13.96,Rome,Power Grid Substation,Extreme
SEC-76,54.83,28.89,Copenhagen,Railway Junction,Extreme
SEC-76,42.79,8.60,Warsaw,Railway Junction,Low
SEC-14,58.00,27.51,Geneva,Embassy Annex,High
SEC-62,41.31,8.27,Berlin,Water Treatment Plant,Medium
SEC-87,57.69,19.14,Warsaw,Water Treatment Plant,Low
SEC-96,52.38,9.12,Copenhagen,Power Grid Substation,Low
SEC-37,56.25,10.30,Berlin,Embassy Annex,Low
SEC-18,49.44,16.50,London,Embassy Annex,Medium
SEC-43,40.08,13.81,Paris,Embassy Annex,Low
SEC-27,49.84,12.00,Warsaw,Embassy Annex,Extreme
SEC-22,40.70,3.91,Zurich,Supply Depot,Low
SEC-73,46.47,-6.44,London,Water Treatment Plant,Low
SEC-44,49.72,5.39,Copenhagen,Communications Tower,Medium
SEC-23,43.68,21.16,Zurich,Railway Junction,Medium
SEC-65,39.97,-0.20,Madrid,Embassy Annex,High
SEC-48,52.32,13.85,Madrid,Supply Depot,Medium
SEC-14,55.33,18.89,Paris,Power Grid Substation,High
SEC-70,44.46,21.90,Prague,Embassy Annex,High
SEC-97,36.21,16.34,Zurich,Supply Depot,Low
SEC-43,43.39,28.52,Rome,Supply Depot,Low
SEC-20,45.51,23.32,Geneva,Power Grid Substation,Low
SEC-40,55.94,14.89,Geneva,Supply Depot,Low
SEC-22,56.53,-8.80,Rome,Supply Depot,Low
SEC-29,42.27,7.44,Rome,Power Grid Substation,Low
SEC-23,50.26,21.07,Prague,Water Treatment Plant,Extreme
SEC-94,37.08,21.70,Warsaw,Railway Junction,Low
SEC-73,52.88,1.11,Zurich,Railway Junction,High
SEC-90,47.13,10.18,Vienna,Embassy Annex,Medium
SEC-40,38.95,24.17,Berlin,Railway Junction,Extreme
SEC-66,57.18,19.77,Berlin,Supply Depot,Low
SEC-26,42.21,19.43,Vienna,Communications Tower,Low
SEC-81,54.90,26.88,Vienna,Railway Junction,Medium
SEC-53,38.67,-2.42,Geneva,Railway Junction,Extreme
SEC-69,50.95,-2.42,Copenhagen,Power Grid Substation,Low
SEC-10,36.36,8.33,Paris,Supply Depot,High
SEC-41,39.29,-8.27,Rome,Power Grid Substation,Medium
SEC-72,45.61,-5.61,Madrid,Water Treatment Plant,Low
SEC-52,46.17,-4.57,Berlin,Water Treatment Plant,Low
SEC-20,56.91,-5.03,Zurich,Railway Junction,Medium
SEC-10,37.77,11.21,Vienna,Supply Depot,Extreme
SEC-35,54.18,-9.76,London,Water Treatment Plant,Extreme
SEC-23,47.77,-7.08,Zurich,Power Grid Substation,Medium
SEC-84,59.71,0.90,Zurich,Power Grid Substation,Low
SEC-77,55.82,19.16,Vienna,Supply Depot,High
SEC-66,58.85,19.33,Madrid,Embassy Annex,Medium
SEC-25,38.09,10.28,Berlin,Communications Tower,Extreme
SEC-97,59.55,-2.76,Madrid,Supply Depot,Low
SEC-59,58.19,8.91,Warsaw,Power Grid Substation,Medium
SEC-58,53.96,9.65,London,Railway Junction,Extreme
SEC-96,35.51,20.12,Paris,Embassy Annex,High
SEC-14,57.75,-0.77,Geneva,Embassy Annex,Low
SEC-96,41.57,22.12,Vienna,Railway Junction,Medium
SEC-44,52.21,25.53,Berlin,Railway Junction,Extreme
SEC-30,57.68,0.89,London,Embassy Annex,Low
SEC-99,43.27,-7.64,Brussels,Water Treatment Plant,Medium
SEC-80,45.96,12.61,Warsaw,Supply Depot,High
SEC-77,51.47,-5.93,Copenhagen,Power Grid Substation,Low
SEC-42,49.13,18.88,London,Communications Tower,High
SEC-70,39.74,29.57,Copenhagen,Railway Junction,Low
SEC-74,54.90,29.15,Prague,Supply Depot,Extreme
SEC-25,51.75,12.93,Copenhagen,Power Grid Substation,High
SEC-16,47.67,9.81,Paris,Water Treatment Plant,Extreme
SEC-12,44.17,1.24,Prague,Communications Tower,Extreme
SEC-25,42.24,15.71,London,Water Treatment Plant,Extreme
SEC-42,35.25,-1.69,Brussels,Embassy Annex,High
SEC-66,45.81,-2.47,Rome,Supply Depot,Low
SEC-99,56.02,16.64,Geneva,Railway Junction,Extreme
SEC-95,53.98,15.98,Paris,Power Grid Substation,Medium
SEC-76,42.73,28.71,London,Power Grid Substation,Low
SEC-20,36.25,24.46,Brussels,Embassy Annex,Medium
SEC-11,40.53,19.00,Rome,Railway Junction,Low
SEC-98,42.39,5.24,Paris,Supply Depot,Extreme
SEC-45,39.67,13.00,Rome,Power Grid Substation,Extreme
SEC-69,37.25,12.55,Prague,Embassy Annex,Low
SEC-52,49.46,4.34,Geneva,Embassy Annex,Extreme
SEC-23,56.96,23.32,Rome,Communications Tower,Extreme
SEC-27,45.46,-7.38,Prague,Embassy Annex,High
SEC-55,52.29,9.77,Warsaw,Embassy Annex,High
SEC-93,59.25,-9.17,Zurich,Water Treatment Plant,Extreme
SEC-42,35.48,2.59,Prague,Embassy Annex,Medium
SEC-92,57.10,-7.32,Berlin,Communications Tower,Medium
SEC-26,51.68,19.79,Zurich,Railway Junction,Extreme
SEC-55,53.93,12.69,London,Railway Junction,Extreme
SEC-46,39.91,28.94,Vienna,Embassy Annex,High
SEC-16,49.03,14.10,Rome,Communications Tower,Extreme
SEC-33,38.84,27.85,Paris,Embassy Annex,Extreme
SEC-66,51.16,3.96,Geneva,Water Treatment Plant,Medium
SEC-84,48.32,1.80,Brussels,Power Grid Substation,Medium
SEC-59,38.07,14.78,Geneva,Railway Junction,High
SEC-19,52.71,0.63,Brussels,Supply Depot,Low
SEC-58,39.97,15.43,Rome,Supply Depot,Low
SEC-88,47.39,2.31,Prague,Railway Junction,Medium
SEC-37,39.96,1.81,Prague,Power Grid Substation,Medium
SEC-62,54.63,22.61,Brussels,Supply Depot,High
SEC-75,37.47,-0.32,Vienna,Power Grid Substation,Medium
SEC-97,51.89,-2.64,Madrid,Supply Depot,Extreme
SEC-76,57.29,4.99,Vienna,Water Treatment Plant,Extreme
SEC-57,42.22,11.12,Berlin,Water Treatment Plant,Low
SEC-33,39.78,12.63,Warsaw,Power Grid Substation,Low
SEC-34,44.33,13.04,Geneva,Embassy Annex,Extreme
SEC-52,48.87,16.72,Warsaw,Communications Tower,Low
SEC-19,43.62,24.67,Zurich,Supply Depot,Medium
SEC-30,35.47,-0.24,Vienna,Power Grid Substation,Medium
SEC-51,54.60,1.52,Zurich,Embassy Annex,Low
SEC-56,37.92,9.56,Paris,Power Grid Substation,High
SEC-18,35.32,16.06,Warsaw,Communications Tower,Extreme
SEC-66,54.03,-3.57,Madrid,Power Grid Substation,Low
SEC-31,41.11,8.25,Berlin,Water Treatment Plant,Extreme
SEC-18,56.75,22.84,Prague,Communications Tower,Extreme
SEC-76,39.37,17.98,Geneva,Embassy Annex,High
SEC-75,49.03,4.22,Vienna,Power Grid Substation,High
SEC-93,41.85,14.50,Zurich,Embassy Annex,Low
SEC-60,51.70,11.21,London,Railway Junction,Medium
SEC-50,37.45,18.01,Paris,Communications Tower,High
SEC-65,54.63,-3.68,Copenhagen,Supply Depot,Medium
SEC-93,36.21,11.04,London,Power Grid Substation,Medium
SEC-47,55.09,15.31,Rome,Supply Depot,High
SEC-57,47.87,-6.79,Vienna,Supply Depot,High
SEC-20,45.82,10.79,London,Water Treatment Plant,Extreme
SEC-67,44.41,8.41,Vienna,Communications Tower,Low
SEC-73,54.47,8.41,Brussels,Railway Junction,Low
SEC-91,56.67,-3.62,Rome,Water Treatment Plant,Medium
SEC-65,49.97,-2.26,Prague,Railway Junction,Medium
SEC-42,56.42,12.83,Berlin,Communications Tower,Low
SEC-24,41.95,26.25,Warsaw,Supply Depot,Low
SEC-48,49.94,1.96,Rome,Supply Depot,High
SEC-30,42.25,17.78,Prague,Power Grid Substation,Low
SEC-30,54.22,-2.88,Berlin,Embassy Annex,Low
SEC-91,45.00,7.42,Rome,Railway Junction,Extreme
SEC-48,43.77,2.55,Paris,Communications Tower,Extreme
SEC-91,54.45,6.07,Vienna,Water Treatment Plant,Low
SEC-46,51.70,16.87,Rome,Water Treatment Plant,Medium
SEC-21,52.59,17.25,Vienna,Communications Tower,High
SEC-85,50.74,-0.09,Paris,Embassy Annex,High
SEC-19,37.40,6.45,Warsaw,Water Treatment Plant,Low
SEC-31,44.57,28.37,Geneva,Supply Depot,High
SEC-52,46.00,3.45,Madrid,Power Grid Substation,High
SEC-65,54.19,-0.59,Madrid,Power Grid Substation,Low
SEC-62,37.42,29.85,Zurich,Railway Junction,Extreme
SEC-86,36.30,0.31,Warsaw,Railway Junction,Medium
SEC-91,51.38,9.31,Paris,Water Treatment Plant,Low
SEC-93,46.73,13.13,London,Power Grid Substation,Low
SEC-98,38.37,-4.44,Paris,Communications Tower,High
SEC-12,59.63,11.73,Vienna,Railway Junction,High
SEC-25,46.06,-5.29,Madrid,Communications Tower,Medium
SEC-47,37.68,1.87,Zurich,Water Treatment Plant,High
SEC-34,49.90,-5.83,Brussels,Power Grid Substation,Medium
SEC-91,41.67,15.40,Rome,Supply Depot,Extreme
SEC-13,50.88,16.12,Copenhagen,Power Grid Substation,Medium
SEC-35,47.62,-6.54,Paris,Railway Junction,Low
SEC-12,35.50,16.60,Warsaw,Embassy Annex,Extreme
SEC-52,39.43,28.44,Geneva,Power Grid Substation,Low
SEC-40,39.64,5.02,Warsaw,Water Treatment Plant,Medium
SEC-92,44.06,9.14,Warsaw,Water Treatment Plant,Low
SEC-53,40.80,6.78,Berlin,Supply Depot,Medium
SEC-33,47.28,18.10,Rome,Water Treatment Plant,High
SEC-32,46.21,20.33,Rome,Railway Junction,High
SEC-98,52.49,3.72,London,Supply Depot,Medium
SEC-58,37.22,21.36,Zurich,Railway Junction,Low
SEC-56,49.55,21.87,Rome,Supply Depot,High
SEC-75,50.76,13.56,Warsaw,Water Treatment Plant,Low
SEC-47,48.93,13.01,Copenhagen,Embassy Annex,Medium
SEC-30,41.34,23.02,Brussels,Communications Tower,High
SEC-35,49.30,17.34,London,Power Grid Substation,High
SEC-75,46.45,13.90,Prague,Railway Junction,Extreme
SEC-44,47.61,2.66,Brussels,Embassy Annex,Extreme
SEC-67,50.77,5.32,Geneva,Power Grid Substation,Low
SEC-51,54.26,9.56,Zurich,Supply Depot,Medium
SEC-91,53.49,25.67,Madrid,Supply Depot,Extreme
SEC-26,50.59,-8.40,Warsaw,Railway Junction,Low
SEC-99,51.41,18.20,Rome,Embassy Annex,High
SEC-58,37.70,3.08,London,Railway Junction,High
SEC-29,42.23,14.63,Madrid,Supply Depot,High
SEC-68,56.34,10.93,Prague,Water Treatment Plant,Medium
SEC-41,49.92,15.61,Paris,Water Treatment Plant,High
SEC-73,35.33,16.29,Copenhagen,Supply Depot,High
SEC-12,59.75,6.88,Brussels,Embassy Annex,Low
SEC-10,35.24,27.36,Warsaw,Railway Junction,Low
SEC-39,39.76,17.05,Geneva,Communications Tower,Extreme
SEC-68,41.62,4.32,Vienna,Power Grid Substation,Medium
SEC-24,47.88,21.35,London,Railway Junction,Medium
SEC-39,36.09,16.74,Warsaw,Communications Tower,Low
SEC-20,48.94,19.12,Madrid,Communications Tower,High
SEC-77,50.93,15.92,London,Supply Depot,Medium
SEC-61,40.55,22.12,Paris,Power Grid Substation,High
SEC-71,41.09,25.33,Madrid,Water Treatment Plant,Low
SEC-72,59.53,15.99,Paris,Communications Tower,Medium
SEC-97,58.79,-8.26,Zurich,Embassy Annex,Extreme
SEC-85,59.20,-4.13,Geneva,Water Treatment Plant,Extreme
SEC-75,46.65,20.04,Vienna,Communications Tower,Medium
SEC-79,47.44,-5.11,London,Railway Junction,Extreme
SEC-85,36.72,17.74,Brussels,Power Grid Substation,Medium
SEC-38,42.65,3.78,Rome,Embassy Annex,Low
SEC-36,45.49,26.23,Zurich,Embassy Annex,High
SEC-90,47.03,3.23,Madrid,Supply Depot,High
SEC-75,36.57,7.55,Brussels,Railway Junction,Extreme
SEC-91,45.39,24.80,Madrid,Railway Junction,Low
SEC-28,55.83,24.22,Zurich,Embassy Annex,High
SEC-51,40.29,15.34,Geneva,Railway Junction,Medium
SEC-63,50.48,7.10,Geneva,Power Grid Substation,Medium
SEC-41,55.53,28.93,Rome,Railway Junction,Extreme
